q[nm-1]	I(q)[sr-1]_Rocca_10m_eiger2_00011_00_00001_av_ave.h5_00001_[NS11_25C]_trm=0.873101	error
8.96694735e-02	1.38555765e+00	6.84661651e-03
9.01305228e-02	1.37445462e+00	6.81925053e-03
9.05915797e-02	1.35472131e+00	6.75296178e-03
9.10526365e-02	1.32171035e+00	6.65635383e-03
9.15136859e-02	1.30262589e+00	6.60076085e-03
9.19747427e-02	1.29220736e+00	6.56323507e-03
9.24357995e-02	1.25958240e+00	6.46227226e-03
9.28968564e-02	1.24594939e+00	6.42646337e-03
9.33579057e-02	1.22841930e+00	6.37286436e-03
9.38189626e-02	1.20432222e+00	6.29600883e-03
9.42800194e-02	1.18133283e+00	6.23096758e-03
9.47410688e-02	1.16797566e+00	6.19536173e-03
9.52021256e-02	1.13708353e+00	6.09371532e-03
9.56631824e-02	1.13935387e+00	6.09832164e-03
9.61242318e-02	1.11052716e+00	6.00225618e-03
9.65852886e-02	1.10287452e+00	5.98315243e-03
9.70463455e-02	1.08260930e+00	5.92024531e-03
9.75073949e-02	1.06604671e+00	5.86166140e-03
9.79684517e-02	1.05402303e+00	5.81708504e-03
9.84295085e-02	1.04018319e+00	5.77100785e-03
9.88905579e-02	1.03115702e+00	5.73774194e-03
9.93516147e-02	1.01610816e+00	5.69115905e-03
9.98126715e-02	1.00475717e+00	5.65314712e-03
1.00273721e-01	9.94738221e-01	5.61256194e-03
1.00734778e-01	9.85319734e-01	5.57742920e-03
1.01195835e-01	9.73178685e-01	5.53759187e-03
1.01656884e-01	9.55008030e-01	5.48287667e-03
1.02117941e-01	9.39552486e-01	5.42975497e-03
1.02578998e-01	9.29832339e-01	5.38805174e-03
1.03040047e-01	9.26475048e-01	5.37282089e-03
1.03501104e-01	9.16417599e-01	5.33984974e-03
1.03962161e-01	9.07734096e-01	5.30828955e-03
1.04423210e-01	8.93679440e-01	5.25565771e-03
1.04884267e-01	8.89518082e-01	5.23869647e-03
1.05345324e-01	8.73046517e-01	5.18697081e-03
1.05806373e-01	8.58811021e-01	5.13976952e-03
1.06267430e-01	8.59961212e-01	5.13678556e-03
1.06728487e-01	8.54195297e-01	5.10440674e-03
1.07189544e-01	8.46259236e-01	5.07297413e-03
1.07650593e-01	8.41658890e-01	5.05540101e-03
1.08111650e-01	8.39065075e-01	5.03859017e-03
1.08572707e-01	8.27872396e-01	5.00038918e-03
1.09033756e-01	8.14627528e-01	4.95231524e-03
1.09494813e-01	8.11428428e-01	4.92938654e-03
1.09955870e-01	8.06096435e-01	4.90151439e-03
1.10416919e-01	7.99524903e-01	4.87988256e-03
1.10877976e-01	7.87624240e-01	4.83638048e-03
1.11339033e-01	7.87351310e-01	4.82635526e-03
1.11800082e-01	7.79838741e-01	4.79432521e-03
1.12261139e-01	7.69808412e-01	4.75810515e-03
1.12722196e-01	7.68669963e-01	4.74966597e-03
1.13183245e-01	7.65725255e-01	4.73058503e-03
1.13644302e-01	7.66562045e-01	4.72274935e-03
1.14105359e-01	7.61203647e-01	4.70073055e-03
1.14566408e-01	7.44181693e-01	4.64397296e-03
1.15027465e-01	7.42098391e-01	4.63092048e-03
